iter	RMSE
0	345490.3277
1	322909.7028
2	303622.3126
3	286444.8569
4	270525.3315
5	256368.2824
6	243661.6743
7	232317.0099
8	222014.7339
9	212605.6626
10	204311.0238
11	196673.7962
12	190243.041
13	184154.6033
14	177841.2992
15	174024.7044
16	168043.5493
17	163581.7914
18	159877.2507
19	156668.9734
20	153501.1344
21	149749.1735
22	146023.6313
23	142405.0322
24	139803.7064
25	135947.8939
26	133568.2231
27	130712.1105
28	127606.0615
29	125151.1802
30	122684.1132
31	119832.5726
32	117965.081
33	115451.1503
34	113255.4039
35	111169.5092
36	108508.0669
37	106936.2376
38	104798.7225
39	102815.8546
40	101292.7862
41	99305.04139
42	97667.64806
43	96359.4817
44	94960.90754
45	93396.7793
46	91787.01785
47	90350.26129
48	88643.28284
49	87565.5967
50	85774.06805
51	84300.80511
52	83316.86187
53	82367.73521
54	81224.25538
55	80204.40294
56	79298.2867
57	77720.49389
58	76671.10809
59	75715.95407
60	74691.73147
61	73817.0896
62	72585.72448
63	71757.71629
64	70967.38248
65	70301.58076
66	69660.9757
67	68811.32132
68	68214.45052
69	67754.24578
70	66707.6354
71	66264.94017
72	65723.79561
73	65083.77716
74	64578.95895
75	64040.28887
76	63573.70912
77	62842.28789
78	62408.36857
79	61988.05453
80	61579.2608
81	61121.5862
82	60738.10011
83	59568.58175
84	58560.95113
85	57456.70267
86	57117.86463
87	56719.94533
88	55730.69652
89	55382.2208
90	54965.48814
91	54139.00055
92	53602.2692
93	52764.14222
94	52174.62585
95	51942.50544
96	51166.59337
97	50519.22857
98	50358.56696
99	50045.21102
100	49360.29061
101	48376.12993
102	47848.43583
103	47191.68148
104	47009.34289
105	46577.84588
106	45979.86599
107	45426.12833
108	44934.76282
109	44693.24266
110	44236.09764
111	43826.23836
112	43584.16057
113	43372.99293
114	42980.67966
115	42819.18018
116	42402.13481
117	42001.02453
118	41858.95349
119	41255.77322
120	40811.56964
121	40627.4968
122	40179.15577
123	40065.14873
124	39754.38991
125	39297.4669
126	39047.2568
127	38784.63289
128	38566.84749
129	38211.18938
130	38053.97189
131	37645.29589
132	37245.24547
133	36902.3124
134	36646.99993
135	36523.77325
136	36261.36843
137	36052.44073
138	35777.19301
139	35397.06319
140	35259.35433
141	34933.44383
142	34610.02616
143	34324.1049
144	34036.28897
145	33778.11962
146	33495.80563
147	33388.69512
148	33125.26341
149	32863.7018
150	32809.20314
151	32697.70113
152	32473.68709
153	32216.97014
154	32043.53045
155	31749.85254
156	31527.67553
157	31436.82865
158	31292.86497
159	31069.23048
160	30840.72346
161	30606.29293
162	30400.6522
163	30297.47415
164	30110.98221
165	30037.59627
166	29894.86768
167	29791.35027
168	29715.99299
169	29649.20311
170	29445.97839
171	29286.60351
172	29027.36095
173	28885.95912
174	28667.36689
175	28561.06741
176	28371.4484
177	28108.79875
178	28036.76629
179	27841.99307
180	27657.09349
181	27437.86673
182	27279.81717
183	27137.61059
184	26929.88888
185	26762.34712
186	26641.52787
187	26478.86221
188	26378.02783
189	26329.77314
190	26229.59086
191	26035.16909
192	25902.28595
193	25766.58518
194	25618.05807
195	25461.1876
196	25326.50315
197	25170.94324
198	25061.81421
199	24943.66167
200	24799.0697
201	24641.32666
202	24554.79069
203	24423.60318
204	24315.17647
205	24229.11162
206	24089.55638
207	23971.2749
208	23785.41519
209	23684.51308
210	23501.67488
211	23411.87205
212	23326.48435
213	23280.84874
214	23149.24267
215	23044.90715
216	22877.6362
217	22835.34786
218	22656.63827
219	22604.01841
220	22503.1013
221	22347.24219
222	22229.76421
223	22070.1078
224	22035.43842
225	21940.85881
226	21836.05445
227	21726.28516
228	21656.95818
229	21580.857
230	21497.8733
231	21414.92587
232	21281.16501
233	21195.97069
234	21065.99035
235	20920.90033
236	20791.71996
237	20743.59781
238	20629.35537
239	20531.50571
240	20477.95766
241	20428.88951
242	20327.17847
243	20196.93964
244	20082.78683
245	19968.75912
246	19900.33749
247	19864.24432
248	19809.39838
249	19693.10618
250	19608.36692
251	19486.24232
252	19405.28415
253	19332.07558
254	19174.75003
255	19065.13258
256	19005.20053
257	18966.40029
258	18851.62549
259	18818.42166
260	18721.27068
261	18669.17033
262	18553.63194
263	18444.48078
264	18356.41619
265	18288.68602
266	18209.30533
267	18166.92321
268	18093.09468
269	17991.2182
270	17942.32247
271	17840.7419
272	17790.8838
273	17720.44694
274	17638.64228
275	17545.81258
276	17438.61751
277	17366.62094
278	17314.55586
279	17210.7016
280	17158.88682
281	17120.66559
282	17035.93563
283	16993.13299
284	16869.09094
285	16784.91941
286	16735.22002
287	16685.01406
288	16617.0113
289	16530.20742
290	16460.16084
291	16424.75713
292	16369.30468
293	16342.84917
294	16262.83456
295	16207.93588
296	16165.08246
297	16126.34326
298	16074.93003
299	16009.29226
300	15932.81971
301	15878.20744
302	15827.56154
303	15757.00907
304	15735.58083
305	15703.27912
306	15667.88905
307	15588.70804
308	15565.84041
309	15502.40406
310	15446.2649
311	15425.99716
312	15366.49564
313	15297.55137
314	15246.2288
315	15149.57791
316	15097.67583
317	15045.58764
318	15009.37521
319	14953.49519
320	14923.64236
321	14846.1204
322	14790.04772
323	14722.16368
324	14661.91218
325	14613.85955
326	14545.76514
327	14510.41148
328	14491.95414
329	14441.81645
330	14363.15463
331	14321.8586
332	14277.85896
333	14203.98975
334	14139.3723
335	14101.31598
336	14051.99529
337	14004.39612
338	13965.69141
339	13900.31897
340	13841.41427
341	13803.7006
342	13772.84897
343	13731.6901
344	13704.50459
345	13685.20313
346	13629.9001
347	13575.48208
348	13540.63097
349	13482.66551
350	13429.64306
351	13386.17854
352	13344.32912
353	13291.80231
354	13246.73565
355	13201.8605
356	13176.81985
357	13137.69882
358	13111.78755
359	13081.37154
360	13041.30925
361	13021.9928
362	12980.50397
363	12966.99551
364	12946.90737
365	12921.82336
366	12868.35821
367	12831.05001
368	12814.34248
369	12777.40514
370	12737.15865
371	12718.21384
372	12685.13081
373	12663.28515
374	12651.64001
375	12627.82361
376	12566.25564
377	12490.61509
378	12450.11871
379	12414.47162
380	12364.89442
381	12338.3219
382	12310.24415
383	12288.03078
384	12247.90266
385	12200.82774
386	12167.91305
387	12134.86191
388	12109.77671
389	12061.19566
390	12027.71398
391	12011.66032
392	11996.85639
393	11961.90748
394	11945.29478
395	11910.95751
396	11898.88314
397	11861.53155
398	11815.43735
399	11785.96669
400	11727.78945
401	11694.59497
402	11670.84199
403	11633.02783
404	11612.60418
405	11577.41534
406	11558.36434
407	11502.35686
408	11487.93099
409	11449.5289
410	11417.68193
411	11381.63538
412	11325.02379
413	11300.82114
414	11251.30698
415	11210.22027
416	11194.6106
417	11162.89635
418	11135.62598
419	11117.51104
420	11093.50324
421	11050.78609
422	11033.39543
423	11004.09955
424	10976.51224
425	10949.33851
426	10906.6325
427	10871.09961
428	10830.33422
429	10790.44375
430	10778.42594
431	10762.47464
432	10743.68872
433	10735.1117
434	10705.92952
435	10687.8643
436	10672.83465
437	10659.35154
438	10623.48098
439	10610.92044
440	10588.04043
441	10550.53352
442	10522.04202
443	10489.44514
444	10478.20295
445	10441.86043
446	10405.81056
447	10383.34456
448	10357.67347
449	10334.49318
450	10316.35851
451	10278.17114
452	10247.16983
453	10223.71906
454	10187.42311
455	10160.59807
456	10146.75245
457	10119.46497
458	10089.87432
459	10075.15885
460	10045.57651
461	10015.24353
462	9986.708679
463	9956.200476
464	9944.44597
465	9924.949426
466	9908.709559
467	9877.426016
468	9856.207537
469	9842.913534
470	9818.343215
471	9799.085894
