iter	Passed	Remaining
0	6	6644
1	11	5629
2	16	5615
3	21	5349
4	26	5295
5	32	5312
6	37	5279
7	42	5221
8	47	5187
9	52	5161
10	57	5157
11	62	5153
12	67	5153
13	73	5190
14	78	5170
15	84	5180
16	89	5174
17	95	5189
18	100	5185
19	105	5175
20	110	5158
21	115	5153
22	120	5131
23	125	5111
24	131	5132
25	137	5141
26	142	5126
27	147	5126
28	152	5106
29	157	5092
30	162	5071
31	167	5072
32	173	5077
33	178	5064
34	182	5040
35	187	5027
36	192	5012
37	197	5008
38	203	5008
39	208	4992
40	213	4983
41	218	4978
42	223	4971
43	228	4966
44	233	4952
45	238	4951
46	243	4936
47	248	4925
48	253	4912
49	258	4910
50	263	4904
51	268	4894
52	273	4891
53	278	4884
54	283	4878
55	288	4868
56	294	4864
57	299	4866
58	304	4859
59	309	4849
60	314	4843
61	319	4833
62	324	4831
63	329	4822
64	334	4816
65	339	4808
66	345	4810
67	350	4801
68	355	4794
69	360	4791
70	365	4784
71	370	4781
72	376	4775
73	380	4763
74	385	4758
75	391	4757
76	396	4757
77	401	4750
78	406	4740
79	412	4740
80	416	4730
81	421	4723
82	427	4717
83	431	4706
84	437	4708
85	443	4709
86	448	4702
87	453	4698
88	458	4697
89	463	4691
90	469	4686
91	474	4681
92	479	4676
93	484	4673
94	490	4670
95	495	4662
96	500	4654
97	504	4647
98	510	4648
99	515	4641
100	521	4640
101	526	4637
102	532	4633
103	537	4628
104	542	4625
105	547	4620
106	552	4612
107	558	4611
108	563	4603
109	567	4594
110	573	4592
111	578	4587
112	583	4582
113	588	4574
114	593	4568
115	598	4561
116	603	4554
117	609	4552
118	614	4546
119	619	4543
120	625	4542
121	630	4537
122	635	4534
123	641	4533
124	646	4527
125	652	4525
126	658	4524
127	662	4516
128	669	4518
129	675	4520
130	680	4516
131	687	4518
132	693	4517
133	698	4516
134	703	4510
135	708	4503
136	713	4494
137	718	4488
138	724	4484
139	729	4480
140	734	4473
141	739	4470
142	745	4467
143	751	4464
144	756	4459
145	761	4456
146	766	4450
147	771	4442
148	777	4439
149	783	4437
150	787	4429
151	792	4423
152	798	4420
153	803	4416
154	809	4412
155	814	4404
156	819	4397
157	823	4389
158	829	4386
159	834	4381
160	840	4377
161	844	4370
162	850	4365
163	854	4357
164	860	4355
165	866	4351
166	871	4346
167	876	4340
168	882	4337
169	886	4329
170	891	4323
171	896	4317
172	902	4313
173	907	4308
174	914	4308
175	919	4304
176	924	4298
177	930	4294
178	934	4288
179	941	4287
180	946	4283
